opponent,win,lose
Mario,1,0
Donkey Kong,1,0
Link,1,0
Samus,3,0
Dark Samus,2,0
Yoshi,2,0
Kirby,4,0
Fox,2,0
Pikachu,2,0
Luigi,0,0
Ness,1,0
Captain Falcon,2,0
Jigglypuff,0,1
Peach,1,0
Daisy,0,1
Bowser,0,1
Ice Climbers,1,0
Sheik,0,1
Zelda,2,0
Dr. Mario,1,1
Pichu,0,0
Falco,0,1
Marth,0,1
Lucina,0,0
Young Link,2,0
Ganondorf,2,1
Mewtwo,1,1
Roy,1,0
Chrom,1,0
Mr. Game & Watch,1,1
Meta Knight,2,0
Pit,0,1
Dark Pit,0,1
Zero Suit Samus,1,0
Wario,2,1
Snake,2,0
Ike,0,0
Pokémon Trainer,1,1
Diddy Kong,2,0
Lucas,1,0
Sonic,1,0
King DeDeDe,0,0
Olimar,2,0
Lucario,1,0
R.O.B.,2,0
Toon Link,1,1
Wolf,1,0
Villager,1,0
Mega Man,0,2
Wii-Fit Trainer,1,0
Rosalina & Luma,0,0
Little Mac,2,0
Greninja,1,2
Palutena,3,0
Pac-Man,2,0
Robin,2,0
Shulk,1,0
Bowser JR.,1,1
Duck Hunt Duo,2,0
Ryu,1,0
Ken,2,0
Cloud,1,0
Corrin,1,0
Bayonetta,1,0
Inkling,0,0
Ridley,1,0
Simon,3,0
Richter,1,0
King K. Rool,2,0
Isabelle,1,0
Incineroar,1,1
Piranha Plant,2,1
Mii Brawler,0,0
Mii Swordfighter,0,0
Mii Gunner,0,0
